"id","name","updating","country","link","cover_image","location","xc","dh","fr","skills","food","parking","parking_charge","toilet","shower","shop","trails","uplift","rebuilt","display_on_map","website","web_uplift","uplift_logo","description","weather","pageviews"
"1","Barnett Demesne","0","nireland","barnett_demesne",,"54.548472, -5.970965","1","0","1","0","0","1","free","1","1","0","2","0","1","3","http://www.mountainbikeni.com/barnett-demesne-trails-jumps-park/",,,"Barnett Demesne is in south Belfast.<br><br>The Jump Park is the first official Jump park and caters for all abilities, while the Blue xc loop has 1.5km of additional Red graded options.","371348","81"
"2","Blessingbourne","0","nireland","blessingbourne",,"54.386048, -7.311372","1","0","0","0","1","1","5,24;","1","0","0","3","0","1","3","http://www.mountainbikeni.com/blessingbourne/",,,"Blessingbourne is a private estate on the outskirts of Fivemiletown.<br><br>The xc loops are all fairly short, yet by all accounts packed with interesting trail features to test your skills.","351479","76"
"3","Castlewellan","0","nireland","castlewellan",,"54.259927, -5.953455","1","0","0","0","1","1","4.50,24;","1","1","0","3","0","1","3","http://www.mountainbikeni.com/castlewellan/",,,"Castlewellan is south of Belfast, and sits around Castlewellan Lake.<br><br>Both the green and blue trails circle the lake, with the blue taking a slightly wider and more interesting loop.<br><br>The Red route explores more of the forest and the smaller lakes, and gives you several Black options to try out.","350835","78"
"4","Davagh Forest","0","nireland","davagh_forest",,"54.7186467, -6.9326842","1","0","0","1","1","1","free","1","0","0","4","0","1","3","http://www.mountainbikeni.com/davagh-forest/",,,"Davagh Forest can be found hiding out in the woods near Cookstown.<br><br>It's range of trails go from an easy green loop up to a 16km Red loop with multiple options. In fact, in order to try everything on the Red route requires a second trip around.","3911","87"
"5","Rostrevor","0","nireland","rostrevor",,"54.096764, -6.188279","1","1","0","0","1","1","free","1","1","0","4","1","1","3","http://www.mountainbikeni.com/rostrevor/","http://eastcoastadventure.com/book-on-line/",,"Rostrevor sits on the shores of Carlingford Lough,close to the border with Ireland. It hass a selection of xc trails as well as Uplift-serviced downhill trails.<br><br>With almost 50km of trails on offer, it's well worth a few days worth of riding.","354854","82"
"6","Tollymore","0","nireland","tollymore",,"54.223077, -5.963664","0","0","0","1","1","1","free","1","1","0","1","0","1","3","http://www.mountainbikeni.com/tollymore-skills-course/",,,"Tollymore is part of the Tollymore National Outdoors Centre, on the outskirts of Bryansford village.","354853","80"
"7","Cannock Chase","0","england","cannock_chase","cannock","52.752279, -1.974397","1","1","0","0","1","1","1,1;2,3;3,24;","1","0","1","13","0","1","3","http://www.chasetrails.co.uk/",,,"Cannock Chase combines good facilities with good trails and easy access for most of the country.<br><br>The trails allow you to choose how far you want to push yourself, and if you're fed up with cross-country, there's the Stile Cop Downhills just round the corner.","351492","94"
"8","Kielder Forest","0","england","kielder","kielder","55.235798, -2.580130","1","0","1","0","1","1",,"1","0","1","6","0","1","3","http://www.visitkielder.com/play/adventure/mountain-biking",,,"Kielder Forest sits just south of the Scottish border, close to Hexham, on one of the largest man-made lakes in the UK.<br><br>With trails ranging from easy Green routes up to the Deadwater Black trail, and a Trials park, there is something for everyone. The Lonesome Pine and Bloody Bush trails can be a little hard to find, but luckily the bikeshop is on hand to provide advice and spare parts.<br><br>Kielder isn't one of those major trailcentres. The surfaces tend to be loose and rocky, but not torn up, rutted or potholed. It's entirely possible to spend the day riding one of the harder routes and not see another rider.<br><br>Kielder Castle has a few attractions such as mazes and a tearoom, so there's somewhere for non-riders to go and stuff for them to do. There's even a Youth hostel in the village, to break up longer trips.<br><br>In all, there's over 120km of trails waiting out there.","354887","94"
"9","Billinge Hill","0","england","billinge_hill",,"53.737746, -2.515057","0","1","0","0","0","1",,"0","0","0","3","0","1","1","http://www.pmba.org.uk/billinge.htm",,,,,"0"
"10","Cock Hill","0","england","cock_hill",,"53.728544, -2.147529","0","1","1","0","0","1",,"0","0","0","3","0","1","3","http://dirt-trax.co.uk/",,,"Cockhill wood is located in the Pennine valley of Todmorden, on the border of Yorkshire and Lancashire.

The woodland area is being carefully developed with environmental considerations for MTB riding.

Dirt-trax Ltd maintain and build the trails in Cockhill Woods home of Cockhill Mtb.","353930","80"
